CD63,PanEV,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
0,802.5908813,0,54.45454407,39.27272797,31.68181801,56.95454407,44.5,37.54545593,68.22727203,66.86363983,38.90909195
0,311.7000122,0,113.8333359,0,37.46666718,97.3666687,48.23333359,43.29999924,83.46666718,35.13333511,0
0,295.2307739,0,0,0,0,0,0,0,0,0,0
0,331.5666809,0,88.40000153,32.70000076,0,84.06666565,47.36666489,36.26666641,68.40000153,59.23333359,45.23333359
0,494.8387146,0,76.93548584,0,0,76.4193573,34.58064651,34,92.16129303,45.90322495,41.06451797
0,335.9629517,0,0,0,0,0,0,0,0,0,0
0,575.6785889,39.7142868,80.82142639,0,45.82143021,69.5357132,56.2142868,44.07143021,35.1071434,44.57143021,0
0,693.4230957,0,0,0,0,0,0,0,0,0,0
0,462.1818237,0,42.36363602,0,0,39.63636398,0,0,33.78787994,0,0
0,603.333313,0,94.77777863,0,32.48147964,78.37036896,54.51852036,35.88888931,62.9629631,57.51852036,0
0,43.33734894,0,0,0,0,0,31.79518127,0,0,3601.240967,0
0,309.1739197,0,81.91304016,0,0,81.69565582,39.69565201,39.30434799,87.21739197,102.0869598,39.95652008
0,647.7058716,0,0,0,0,0,0,0,0,0,0
0,278.9599915,0,0,0,0,0,0,0,0,32.15999985,0
0,277.9130554,0,35.56521606,0,0,35.56521606,0,0,0,38.04347992,0
0,769.3076782,0,78.15384674,43.76922989,44.38461685,84.03845978,41.5,46.07692337,77.57691956,49.5,45.15384674
0,263.5238037,0,0,0,0,0,0,0,0,0,0
0,396.1666565,0,82.16666412,44,42.29166794,79.25,55.66666794,48.08333206,66.41666412,91.375,39.16666794
0,438.2380981,0,0,0,34.7142868,0,0,0,0,40.04761887,0
0,100.5185165,0,66.55555725,40.14814758,0,70.70370483,52.40740585,33.40740585,64.37036896,87.96295929,32.81481552
0,655.6071167,0,0,0,0,0,0,0,0,0,0
0,1096.925903,32.88888931,99.51851654,36.70370483,46.25925827,87.74073792,48.85185242,31.66666603,89.96295929,51.22222137,36.62963104
32.23077011,295.7692261,0,86.30769348,0,35.34615326,72.7692337,38.38461685,0,67.84615326,0,34.42307663
0,393.342865,0,77.22856903,0,54.65714264,79.14286041,43.48571396,46.77142715,71.91428375,57.82857132,49.59999847
0,463.9629517,0,32.48147964,0,0,0,0,0,0,0,0
0,412.3928528,0,0,0,0,0,0,0,0,0,0
0,453.5714417,0,35.2857132,37.2142868,0,0,33.1428566,0,0,36.7857132,0
0,403.6333313,0,90.66666412,0,53.86666489,86.93333435,0,44.63333511,71.23332977,41.66666794,57.70000076
0,364.1739197,0,0,31.56521797,0,0,0,0,0,0,0
0,278.615387,0,51,0,0,37.73077011,0,0,0,0,0
0,803.3636475,0,0,0,0,0,0,0,0,0,0
0,372.6087036,0,36.47826004,0,0,0,0,0,0,41.52173996,0
0,281.7692261,0,0,0,0,0,0,0,0,0,0
0,291.5185242,0,36.07407379,0,0,0,0,0,0,35.29629517,0
0,36.24390411,0,0,170,0,0,125.7317047,0,0,101.5609741,0
0,302.1071472,0,36.3571434,0,0,44.32143021,0,0,0,0,0
0,627.4827881,0,0,0,0,0,0,0,0,0,0
0,285.8571472,0,68.07142639,0,0,64.75,0,0,46.25,34.42856979,0
0,39.09302139,0,0,0,0,0,0,72.3953476,0,0,42.4883728
0,313.9032288,0,38.64516068,40.32258224,0,39.19355011,41.35483932,0,0,46.03225708,0
0,666.3250122,0,90.25,37.40000153,46.04999924,78.47499847,53.79999924,47.09999847,81.69999695,73.875,46.67499924
0,373.6060486,0,33.66666794,0,0,0,0,0,37.78787994,34.30303192,0
0,294.4074097,0,73.07407379,0,0,81.85185242,33.55555725,0,75.74073792,41.14814758,39.66666794
0,602.0689697,0,85.13793182,0,38.72413635,76.31034851,41.96551895,31.58620644,74.65517426,52.62068939,37.37931061
0,312.7407532,0,34.22222137,0,0,0,31.92592621,0,0,41.88888931,0
0,301.2142944,0,0,0,0,0,0,0,0,0,0
0,345.1875,0,0,0,0,0,0,0,0,35.625,0
0,405.777771,0,35.66666794,0,0,0,35.22222137,0,0,45.92592621,0
0,257.5714417,0,38,0,0,0,0,0,0,0,0
0,37.11999893,0,0,31.76000023,0,0,75.04000092,0,0,41.24000168,0
0,581.039978,0,109.0400009,0,62.47999954,87.12000275,43.15999985,36.72000122,77.59999847,31.87999916,43.52000046
0,227.8571472,0,66.85713959,0,0,0,0,0,0,39.2857132,0
34.13333511,200.8000031,0,33.93333435,0,0,0,0,0,0,0,0
0,38.08333206,0,0,96.33333588,0,0,81.58333588,0,0,80.08333588,0
0,299.4761963,0,0,0,0,0,32.66666794,0,0,36.90476227,0
44.21052551,90.10526276,0,66.78947449,33.31578827,0,46.78947449,57.42105103,0,31.68420982,45.21052551,0
33,398.9411621,0,90.05882263,49.94117737,40.52941132,63,53.88235474,0,37.94117737,39.82352829,0
0,247.75,0,0,0,0,0,0,0,0,0,0
0,285.9333191,0,44.13333511,0,0,0,0,0,0,0,0
0,250.6000061,0,0,0,0,0,0,0,0,40.13333511,0
0,75.5,0,48.125,0,0,48.875,0,0,0,0,0
41.11764526,171.9411774,0,64.70587921,0,0,40.23529434,0,0,0,37.11764526,0
0,167.4666595,0,0,0,35.59999847,0,0,0,0,33.33333206,0
0,169.6000061,0,46.40000153,0,0,36.29999924,0,0,0,0,0
0,121.8499985,0,0,41.20000076,0,0,79.5,60.04999924,0,44.54999924,0
0,319.6818237,0,0,0,0,0,33.95454407,0,0,41.59090805,0
0,223.1052704,0,65.89473724,0,0,44.4736824,0,33.26315689,48.68421173,45.63158035,0
0,230.777771,0,0,0,0,0,0,0,0,50.11111069,0
0,343.3181763,0,40.27272797,0,0,37.59090805,32.59090805,0,42.86363602,0,0
