CD63,PanEV,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
8.433961868,34.56603622,7.603773594,118.1320724,33,45.83018875,81.86792755,62.84905624,73.03773499,133.320755,71.62264252,72.01886749
57.84615326,436.9230652,15.07692337,600.8461304,71.61538696,211.8076935,204.615387,55.23077011,53.69230652,117.8076935,53,59
55.48387146,1340.161255,29.77419281,23.67741966,11.03225803,13.77419376,19.8064518,25.09677505,17.96774101,20.87096786,36.83871078,15.74193573
14.71428585,262.8571472,12.76190472,22,14.19047642,16.95238113,19.5714283,22.19047546,14,17.80952454,34.8571434,15.95238113
13.83333302,530.25,6.291666508,32.33333206,38.29166794,21.33333397,31.375,38.33333206,20.5,32.33333206,53.79166794,17.08333397
43.39473724,67.55263519,6.289473534,53,22.7368412,17.36842155,41.0263176,21.7631588,17.68420982,28.02631569,96.18421173,13.76315784
11.76315784,315.5263062,9.078947067,38.28947449,25.02631569,15.71052647,33.81578827,18.65789413,15.65789509,31.18420982,24.78947449,16.15789413
37.2857132,414.8928528,10.9285717,49.8928566,29.7857151,17.2857151,51.5357132,51.6071434,17.0357151,30.3571434,48,18.1071434
47.53845978,42.73077011,9.42307663,34.42307663,16.38461494,16.34615326,19.88461494,20.15384674,10.84615421,24.53846169,32.11538315,15.15384579
12.6896553,301.4482727,4.241379261,26.03448296,15,18.89655113,27.6896553,34.06896591,22.82758713,18.93103409,32,16.3103447
44.09523773,50.23809433,7.714285851,45.52381134,25.2857151,13.76190472,48.1428566,39.19047546,16.1428566,34.09523773,31.1428566,16.38095284
6.642857075,40.1428566,6.821428776,18.7857151,14.03571415,14.8214283,21.9642849,52.3571434,123.2142868,21.3928566,32.92856979,30.3571434
21.80769157,398.0384521,26.53846169,54.53845978,23.03846169,43.53845978,62.88461685,36.42307663,57.42307663,35.69230652,49.15384674,22.11538506
8.615385056,355.9615479,11.57692337,15.07692337,19.42307663,15.61538506,12.61538506,20.53846169,16.92307663,18.07692337,54.80769348,20.61538506
38,34.26922989,28.30769157,36.61538315,18.69230843,40.42307663,38.23077011,30.57692337,25.69230843,32.80769348,37.19230652,32.73077011
35.84615326,704.5,30,119.5384598,38.38461685,64.57691956,94.96154022,61.96154022,55.34615326,82.5,57.19230652,43.30769348
5.076922894,244.6923065,4.653846264,10.53846169,20.03846169,12.57692337,11.80769253,12.65384579,15.46153831,25.03846169,32.61538315,16.15384674
11.65384579,210.6538391,12.80769253,41.5,15.88461494,24.53846169,37.88461685,25.88461494,21.23077011,31,36.07692337,15.80769253
18.9642849,391.0357056,14.89285755,63.75,22.75,34.2857132,54.2142868,18.6428566,29.6428566,57.4642868,31.5357151,37.75
16.30769157,90.61538696,9.153845787,50.53845978,24.65384674,18.30769157,70.15384674,29.88461494,30.34615326,39.84615326,29.65384674,17.42307663
24.60869598,379.4782715,7.304347992,75.30434418,38.17391205,19.30434799,70,42.95652008,37.95652008,41.82608795,40,24.17391396
15.15999985,378.7999878,10.96000004,40.31999969,16.60000038,17.84000015,29.23999977,31.71999931,19.20000076,30.76000023,32.84000015,20.23999977
7.121212006,529.3030396,7.727272511,25.75757599,23.84848404,15.939394,30.33333397,51.60606003,24.36363602,15.87878799,28,14.48484802
6.960000038,339.9599915,6.079999924,13.11999989,21.31999969,8.760000229,15.27999973,45.36000061,12.15999985,12.23999977,42.08000183,13
7.333333492,624,9.481481552,33.85185242,41.59259415,16.77777863,19.9629631,34.37036896,20.29629707,26,47.74074173,16.77777863
17.79310417,483.241394,5.344827652,44.37931061,19.34482765,14.41379356,36.96551895,21.37931061,23,29.82758713,39.65517426,17.24137878
8,38.8571434,4.392857075,196.9642792,24.75,68.0357132,110.4642868,36.3571434,44.7857132,124.1071396,41.4642868,40.17856979
37.36363602,199.9393921,7,87.1818161,31.78787804,12.39393902,68.33333588,55.96969604,13.81818199,37.78787994,37.45454407,18
45.65517426,81.75862122,13.27586174,54.3103447,18.13793182,16.06896591,25.24137878,27.96551704,14.65517235,34.62068939,24.55172348,13.65517235
5.964285851,58.17856979,4.892857075,9.928571701,94.25,7.857142925,15.21428585,179.5,16.0714283,21.2142849,123.0714264,14
9.5,318.9583435,9.541666985,22.91666603,18.58333397,14.29166698,26.79166603,34.95833206,13.625,16.79166603,56.25,9.583333015
20.86363602,279.0909119,11.409091,47.54545593,16.59090996,11.95454502,28.40909004,21.22727203,20.27272797,28.27272797,27.45454597,19
10.03571415,417.6071472,6.678571224,30.3571434,32.6071434,18,11.1785717,25.1428566,12.03571415,15.5,24.5,13.53571415
4.866666794,35.13333511,4.133333206,9.899999619,25.86666679,13.73333359,18.76666641,87.03333282,15.39999962,14.19999981,75.6333313,13.13333321
79.38710022,1287.290283,50.16128922,162.2580719,54.96774292,73.83870697,139.9354858,82.74193573,69.25806427,131.0967712,63.06451797,68.67742157
6.870967865,959.2580566,5.483870983,15.2903223,19.48387146,15.38709641,21.22580719,18.93548393,15.54838753,19.61290359,27.16129112,15.93548393
8.178571701,348.4642944,6.035714149,16.5714283,11.39285755,13.89285755,14.28571415,21.75,13.0714283,11.5,23.8928566,18.6071434
8.434782982,277.3043518,5.86956501,14.60869598,22.26086998,9.695652008,11.78260899,30.30434799,13.52173901,15.78260899,52.34782791,16.86956596
13.84000015,320.4400024,6.920000076,35.40000153,30.23999977,23,35.68000031,31.44000053,23.60000038,33.84000015,37.63999939,22.95999908
43.16666794,147.8333282,11.41666698,65,25.54166603,16.95833397,53.79166794,28.25,23.25,25.58333397,20.625,18.20833397
11.51724148,371.8275757,6.310344696,47.6896553,26.20689583,11.27586174,29.62068939,27.6896553,18.51724052,30.75862122,26.48275948,18.75862122
22.40909004,262.3636475,12.81818199,41.86363602,26.5,25.77272797,51.59090805,46.54545593,28.72727203,32.09090805,40.36363602,16.40909004
7.111111164,478.6666565,11.33333302,18.70370293,14.62963009,19.40740776,19.9629631,23.81481552,16.48148155,27.55555534,28.77777863,19.62962914
12.44444466,296,12.66666698,22.44444466,32.81481552,22.88888931,32.62963104,32.55555725,25.85185242,25.07407379,41.37036896,18.59259224
64.80000305,245.5599976,9.920000076,70.59999847,30.15999985,16.71999931,45.68000031,29.60000038,13.64000034,37.56000137,50.95999908,17.95999908
399.75,591.53125,25.40625,422.03125,28.625,42.25,217.65625,37,27.53125,160.9375,52.09375,36
28.95999908,430.0400085,12.27999973,73.87999725,20.92000008,37.36000061,88.68000031,49.56000137,28.95999908,60.88000107,45.84000015,22.31999969
29.31999969,485.7200012,23.04000092,46.43999863,17.76000023,31.28000069,54.75999832,36.08000183,31.12000084,42.88000107,62.24000168,26.71999931
35.25925827,593.2592773,16.48148155,13.74074078,10.14814854,7.814815044,14.55555534,12.51851845,9.70370388,17.18518448,16.66666603,12.81481457
14.60714245,417.2857056,6,29.7142849,24.0714283,12.6785717,35.75,16.9642849,17.7857151,37.3928566,21.5,14.9285717
10.84000015,361.519989,17.95999908,34.04000092,36.24000168,34.56000137,15.52000046,20.28000069,16.20000076,15.88000011,41.43999863,15.47999954
8.952381134,261.5238037,6.095238209,18.8571434,25.23809433,16.33333397,16.38095284,33.33333206,12.47619057,14.66666698,34.33333206,13.61904716
23.60000038,297.6666565,18.36666679,79.33333588,22.16666603,39.96666718,77.90000153,29.63333321,42.13333511,53.36666489,34.93333435,31.39999962
21.6785717,321.9285583,15.21428585,43.3928566,15,17.4285717,32.2142868,20.5714283,23.2857151,31.5714283,19.9285717,21.6071434
27.34482765,2335.689697,16.62068939,99.82758331,55.89655304,59.37931061,89.58620453,64.41379547,56.06896591,78.44827271,64.68965149,52.17241287
7.071428776,135.3214264,3.464285612,95.5357132,41.07143021,29.5,142.8571472,51.32143021,78.57142639,94.07142639,60.8928566,36.5357132
9.166666985,47.625,5.125,8.375,57.20833206,12.95833302,13.70833302,81.54166412,9.458333015,11.08333302,55.125,12.08333302
11.30000019,364.7000122,14.73333359,30.76666641,31.26666641,30.06666756,19.63333321,64.5,28.13333321,25.60000038,44.09999847,21.63333321
49.17856979,138.1785736,5.428571224,17.2857151,10.9285717,14.71428585,21.9285717,17.5357151,16.9642849,15.8214283,15.21428585,13.0714283
14.82758617,280.6551819,8.72413826,43.62068939,28.34482765,16.27586174,73.27586365,41.34482574,22.24137878,34.82758713,47.58620834,14.3103447
14.58620644,253.7931061,10.75862026,54.44827652,13.89655209,23.3103447,63,21.3103447,35.20689774,46.6896553,20.3103447,21.65517235
15.78260899,414.6521606,9.478260994,40.69565201,24.13043404,22.17391396,28.652174,42.43478394,24.13043404,30.43478203,49.17391205,25.17391396
11.16666698,378.2333374,7.366666794,20.66666603,13.26666641,10.66666698,19.26666641,18.76666641,14.16666698,13.13333321,25.86666679,12.53333378
32.06666565,480.1333313,34.73333359,66.76667023,58.70000076,46.26666641,56.20000076,90.09999847,34.46666718,37.43333435,65.09999847,36
27.43478203,893.6521606,27.652174,25,25.56521797,12.30434799,25.347826,38.86956406,17.43478203,18.56521797,45.17391205,15.73913002
20.31818199,802.5908813,26.18181801,54.45454407,39.27272797,31.68181801,56.95454407,44.5,37.54545593,68.22727203,66.86363983,38.90909195
23.86666679,311.7000122,10.10000038,113.8333359,25.39999962,37.46666718,97.3666687,48.23333359,43.29999924,83.46666718,35.13333511,31.36666679
7.461538315,295.2307739,9.230769157,21.65384674,21.42307663,13.80769253,21.80769157,27.34615326,23.23077011,20.57692337,16.11538506,17.73077011
26.26666641,331.5666809,15.69999981,88.40000153,32.70000076,31.13333321,84.06666565,47.36666489,36.26666641,68.40000153,59.23333359,45.23333359
19.67741966,494.8387146,11.83870983,76.93548584,25.77419281,28.45161247,76.4193573,34.58064651,34,92.16129303,45.90322495,41.06451797
10,335.9629517,13.37036991,25.29629707,24.88888931,13.74074078,26.77777863,27.48148155,16.18518448,20.55555534,24.81481552,16.18518448
30.3928566,575.6785889,39.7142868,80.82142639,25.7142849,45.82143021,69.5357132,56.2142868,44.07143021,35.1071434,44.57143021,22
6.538461685,693.4230957,7.346153736,11.88461494,15.96153831,12.38461494,12.15384579,16.57692337,15.88461494,12.5,29.42307663,11.76923084
14.36363602,462.1818237,11.45454502,42.36363602,20.57575798,17.03030396,39.63636398,25.90909004,21.09090996,33.78787994,13.84848499,15.60606098
30.59259224,603.333313,10.85185146,94.77777863,26.92592621,32.48147964,78.37036896,54.51852036,35.88888931,62.9629631,57.51852036,28.14814758
5.734939575,43.33734894,7.277108669,11.28915691,30.79518127,14.34939766,14.53012085,31.79518127,14.30120468,19.66265106,3601.240967,15.32530117
20.69565201,309.1739197,11.86956501,81.91304016,23.347826,30.60869598,81.69565582,39.69565201,39.30434799,87.21739197,102.0869598,39.95652008
4.941176414,647.7058716,6.470588207,10.0882349,9.823529243,16.44117737,15.4117651,14,12.88235283,12.29411793,23.35294151,14.35294151
14.80000019,278.9599915,19.95999908,20.07999992,30.84000015,21.44000053,22.36000061,23.15999985,16.15999985,16.71999931,32.15999985,19.28000069
20.91304398,277.9130554,14.95652199,35.56521606,16,17.95652199,35.56521606,23.13043404,21.52173996,18.347826,38.04347992,20.30434799
16.76922989,769.3076782,19.42307663,78.15384674,43.76922989,44.38461685,84.03845978,41.5,46.07692337,77.57691956,49.5,45.15384674
19.09523773,263.5238037,12.14285755,30.19047546,20.23809433,21.23809433,20.90476227,30.80952454,13.09523773,19.5714283,30.61904716,18.61904716
16.75,396.1666565,17.33333397,82.16666412,44,42.29166794,79.25,55.66666794,48.08333206,66.41666412,91.375,39.16666794
11.23809528,438.2380981,15.52380943,20.80952454,27.5714283,34.7142868,23.09523773,28.8571434,18.5714283,21.09523773,40.04761887,19.95238113
9.629630089,100.5185165,7.962963104,66.55555725,40.14814758,24.66666603,70.70370483,52.40740585,33.40740585,64.37036896,87.96295929,32.81481552
7.25,655.6071167,6.357142925,9.392857552,17.6428566,8.714285851,11.46428585,21.2142849,15.3214283,12.25,22.0357151,13.60714245
25.66666603,1096.925903,32.88888931,99.51851654,36.70370483,46.25925827,87.74073792,48.85185242,31.66666603,89.96295929,51.22222137,36.62963104
32.23077011,295.7692261,21.19230843,86.30769348,27.53846169,35.34615326,72.7692337,38.38461685,30.65384674,67.84615326,29.46153831,34.42307663
17.45714378,393.342865,17.65714264,77.22856903,29.20000076,54.65714264,79.14286041,43.48571396,46.77142715,71.91428375,57.82857132,49.59999847
8.407407761,463.9629517,14.29629612,32.48147964,24.22222137,16.44444466,19.44444466,23.37037086,11.48148155,26.59259224,23.40740776,11.70370388
