"","Center.of.Mass.X...m.","Center.of.Mass.Y...m.","Area...m2.","Perimeter...m.","Circularity","PanEV","EpCAM","MET","SDC1","EGFR","ADAM10","CTSH","PDL1","HER2","image","celltype"
"2979",76.76325226,42.65014267,18,17.3137085,0.754574573,27920.73047,1800.076904,6423.307617,5177.153809,2570.653809,10236.23047,3924.615479,4834.115234,4763.653809,3,"KP"
"2980",41.33824921,32.65095139,19.5,17.07106781,0.840858852,19575.39258,1302.25,6814.856934,4458.106934,1630.821411,11618.21387,1960.928589,2777.107178,2825.178467,3,"KP"
"2981",40.12757111,47.08800125,17,15.65685425,0.871464636,20682.32031,2383.919922,6473.040039,4105.120117,1559.680054,6962.600098,2992.919922,2536.080078,2395.679932,3,"KP"
"2982",80.58398438,10.00361824,24.5,21.89949494,0.641959678,21468.40039,1380.599976,4742.571289,5145.685547,2176.942871,5730.457031,2682.914307,4457.971191,3883.828613,3,"KP"
"2983",30.29151917,27.98994255,17.5,15.89949494,0.869923885,23072.67969,1378.199951,4833.919922,3854.600098,2147.320068,11965,2961.840088,2994.399902,2996.879883,3,"KP"
"2984",27.23296928,57.30675125,19,17.65685425,0.765837804,21161.53516,1440.142822,9195.928711,7503.106934,1734.464233,5814.678711,3135.321533,2259.428467,2245.821533,3,"KP"
"2985",1.986044168,70.46369171,24.5,19.07106781,0.846497983,25742.5,2398.823486,7286.17627,4837.382324,2745.794189,3943.411865,2577.823486,3589.941162,3768,3,"KP"
"2986",44.29682159,70.05975342,19,16.48528137,0.878558605,21443.74023,1015.370361,6182.481445,4808.185059,1632.777832,8048.222168,2343.703613,2093.444336,2682.851807,3,"KP"
"2987",9.144321442,10.40560722,19,16.48528137,0.878558605,26325.07422,1034.185181,5315.074219,4246.814941,2790.444336,11201.18555,1947.777832,2051.926025,2622.370361,3,"KP"
"2988",34.56662369,69.73274994,15,14.48528137,0.898353474,15083.0459,829.6363525,7015.727051,4507.727051,2658.04541,4655.45459,2201.727295,3583,2844.90918,3,"KP"
"2989",52.51853561,69.40574646,15,14.82842712,0.85725682,19961.17383,3032.608643,4082.956543,4980.304199,3909.913086,9735.086914,3412.391357,5642,5147.173828,3,"KP"
"2990",20.81121445,10.72092819,17,16.48528137,0.786078752,27809.91992,1694.800049,8734.55957,7591.240234,3110.76001,4091.040039,2976.719971,2832.52002,3522.159912,3,"KP"
"2991",0.986450016,11.00354958,19.5,17.89949494,0.76482649,22831.32227,1233.928589,6650.106934,3541.607178,1894.821411,8090.178711,2300.535645,1891.571411,2844.892822,3,"KP"
"2992",48.20845413,56.87395477,23.5,18.24264069,0.887365047,14957.21191,1150.242432,7918.848633,4474.36377,2182.151611,7315.030273,2139.302979,3073.394043,3298.424316,3,"KP"
"2993",3.493449926,68.0977478,19.5,17.89949494,0.76482649,25913.53516,1160.821411,6387.678711,6269.893066,1702.714233,12319.82129,2176.071533,2811.321533,2845.607178,3,"KP"
"2994",11.433321,36.71743011,18,16.48528137,0.832318678,13936.11523,1499.884644,4743.192383,4188.153809,2345.923096,5345.5,2160.807617,2385.692383,2001.730713,3,"KP"
"2995",73.85658264,17.14024925,26,20.48528137,0.778573011,19618.41602,1873.805542,7200.333496,6338.166504,2918.694336,7935.861328,2829.222168,4059.861084,4485.361328,3,"KP"
"2996",20.72946358,37.02107239,16,15.65685425,0.82020201,16233.33301,1744.541626,6420.75,4464.583496,2190.125,7495.75,2037.458374,2002.5,2883.916748,3,"KP"
"2997",35.74990463,29.20990372,14.5,14.24264069,0.898249181,14845.0459,1809.227295,5768.04541,3892.863525,1912.5,4051.636475,2898.45459,3300.636475,2219.59082,3,"KP"
